index,partition,label,letter
334,train,1,B
335,train,1,B
336,train,1,B
337,train,1,B
338,train,1,B
339,train,1,B
340,train,1,B
341,train,1,B
342,train,1,B
343,train,1,B
344,train,1,B
345,train,1,B
346,train,1,B
96,val,1,B
347,train,1,B
97,val,1,B
348,train,1,B
349,train,1,B
350,train,1,B
351,train,1,B
352,train,1,B
353,train,1,B
354,train,1,B
355,train,1,B
356,train,1,B
98,val,1,B
99,val,1,B
357,train,1,B
358,train,1,B
359,train,1,B
360,train,1,B
361,train,1,B
362,train,1,B
363,train,1,B
364,train,1,B
365,train,1,B
366,train,1,B
367,train,1,B
368,train,1,B
369,train,1,B
370,train,1,B
371,train,1,B
372,train,1,B
373,train,1,B
100,val,1,B
374,train,1,B
375,train,1,B
376,train,1,B
377,train,1,B
101,val,1,B
378,train,1,B
379,train,1,B
380,train,1,B
102,val,1,B
381,train,1,B
382,train,1,B
383,train,1,B
103,val,1,B
384,train,1,B
104,val,1,B
385,train,1,B
386,train,1,B
387,train,1,B
388,train,1,B
105,val,1,B
106,val,1,B
389,train,1,B
390,train,1,B
391,train,1,B
392,train,1,B
393,train,1,B
394,train,1,B
395,train,1,B
396,train,1,B
397,train,1,B
107,val,1,B
398,train,1,B
399,train,1,B
400,train,1,B
401,train,1,B
402,train,1,B
108,val,1,B
109,val,1,B
110,val,1,B
403,train,1,B
404,train,1,B
405,train,1,B
406,train,1,B
407,train,1,B
408,train,1,B
409,train,1,B
410,train,1,B
411,train,1,B
111,val,1,B
112,val,1,B
412,train,1,B
413,train,1,B
414,train,1,B
113,val,1,B
415,train,1,B
416,train,1,B
417,train,1,B
418,train,1,B
419,train,1,B
420,train,1,B
421,train,1,B
114,val,1,B
422,train,1,B
423,train,1,B
115,val,1,B
424,train,1,B
425,train,1,B
426,train,1,B
116,val,1,B
427,train,1,B
428,train,1,B
429,train,1,B
430,train,1,B
117,val,1,B
431,train,1,B
432,train,1,B
118,val,1,B
433,train,1,B
434,train,1,B
119,val,1,B
120,val,1,B
435,train,1,B
0,test,0,A
1,test,1,B
